UrunID,Mağaza,Talep,AmbalajAdet,AvgUrunBasinaDesi,PaketlemeKod,PaketlemeKuralTipi,PaketlemeSirasi
2999983677836,287,1,8,0.918,3YA,Z,1
2999983677836,318,1,8,0.918,3YA,Z,1
2999983677836,301,1,8,0.918,3YA,Z,1
2999983677836,243,1,8,0.918,3YA,Z,1
2999983930429,287,1,7,0.323,3YA,Z,1
2999983930429,301,1,7,0.323,3YA,Z,1
2999983930429,243,1,7,0.323,3YA,Z,1
2999983930429,307,1,7,0.323,3YA,Z,1
2999983930429,152,1,7,0.323,3YA,Z,1
2999983930429,211,1,7,0.323,3YA,Z,1
2999983930429,210,1,7,0.323,3YA,Z,1
2999983665642,287,1,10,0.588,3YA,Z,1
2999983665642,318,1,10,0.588,3YA,Z,1
2999983665758,191,1,10,0.49,3YA,Z,1
2999983665758,2,1,10,0.49,3YA,Z,1
2999983665758,330,1,10,0.49,3YA,Z,1
2999983665758,310,1,10,0.49,3YA,Z,1
2999983665758,67,1,10,0.49,3YA,Z,1
2999983665758,10,1,10,0.49,3YA,Z,1
2999983665758,287,1,10,0.49,3YA,Z,1
2999983665758,318,1,10,0.49,3YA,Z,1
2999983665758,144,1,10,0.49,3YA,Z,1
2999983665758,177,1,10,0.49,3YA,Z,1
2999983665758,133,1,10,0.49,3YA,Z,1
2999983665758,40,1,10,0.49,3YA,Z,1
2999983665758,176,1,10,0.49,3YA,Z,1
2999983665642,191,1,10,0.588,3YA,Z,1
2999983665642,2,1,10,0.588,3YA,Z,1
2999983665642,310,1,10,0.588,3YA,Z,1
2999983665642,67,1,10,0.588,3YA,Z,1
2999983665642,10,1,10,0.588,3YA,Z,1
2999983665642,152,1,10,0.588,3YA,Z,1
2999983665642,211,1,10,0.588,3YA,Z,1
2999983665642,177,1,10,0.588,3YA,Z,1
2999983665758,14,1,10,0.49,3YA,Z,1
2999983665758,243,1,10,0.49,3YA,Z,1
2999983665758,236,1,10,0.49,3YA,Z,1
2999983665758,152,1,10,0.49,3YA,Z,1
2999983665758,211,1,10,0.49,3YA,Z,1
2999983665758,246,1,10,0.49,3YA,Z,1
2999983607468,191,1,9,0.653,3YA,Z,1
2999983607468,2,1,9,0.653,3YA,Z,1
2999983607468,310,1,9,0.653,3YA,Z,1
2999983607468,67,1,9,0.653,3YA,Z,1
2999983607468,10,1,9,0.653,3YA,Z,1
2999983607468,177,1,9,0.653,3YA,Z,1
2999983607468,287,1,9,0.653,3YA,Z,1
2999983607468,318,1,9,0.653,3YA,Z,1
2999983607468,14,1,9,0.653,3YA,Z,1
2999983607468,243,1,9,0.653,3YA,Z,1
2999983607468,236,1,9,0.653,3YA,Z,1
2999983607468,152,1,9,0.653,3YA,Z,1
2999983607468,211,1,9,0.653,3YA,Z,1
2999983607468,246,1,9,0.653,3YA,Z,1
2999983607482,191,1,9,0.653,3YA,Z,1
2999983607482,67,1,9,0.653,3YA,Z,1
2999983607482,10,1,9,0.653,3YA,Z,1
2999983607482,177,1,9,0.653,3YA,Z,1
2999983607482,287,1,9,0.653,3YA,Z,1
2999983669398,191,1,9,0.653,3YA,Z,1
2999983669398,2,1,9,0.653,3YA,Z,1
2999983669398,310,1,9,0.653,3YA,Z,1
2999983669398,67,1,9,0.653,3YA,Z,1
2999983669398,10,1,9,0.653,3YA,Z,1
2999983669398,14,1,9,0.653,3YA,Z,1
2999983669398,246,1,9,0.653,3YA,Z,1
2999983669398,177,1,9,0.653,3YA,Z,1
2999983669398,176,1,9,0.653,3YA,Z,1
2999983669398,287,1,9,0.653,3YA,Z,1
2999983669398,318,1,9,0.653,3YA,Z,1
2999983669398,301,1,9,0.653,3YA,Z,1
2999983669398,243,1,9,0.653,3YA,Z,1
2999983669398,307,1,9,0.653,3YA,Z,1
2999983669398,236,1,9,0.653,3YA,Z,1
2999983669398,152,1,9,0.653,3YA,Z,1
2999983669398,211,1,9,0.653,3YA,Z,1
2999983109481,191,1,9,0.816,3YA,Z,1
2999983109481,2,1,9,0.816,3YA,Z,1
2999983109481,293,1,9,0.816,3YA,Z,1
2999983109481,310,1,9,0.816,3YA,Z,1
2999983109481,246,1,9,0.816,3YA,Z,1
2999983109481,67,1,9,0.816,3YA,Z,1
2999983109481,296,1,9,0.816,3YA,Z,1
2999983109481,145,1,9,0.816,3YA,Z,1
2999983109481,287,1,9,0.816,3YA,Z,1
2999983109481,221,1,9,0.816,3YA,Z,1
2999983109481,318,1,9,0.816,3YA,Z,1
2999983109481,141,1,9,0.816,3YA,Z,1
2999983109481,63,1,9,0.816,3YA,Z,1
2999983109481,177,1,9,0.816,3YA,Z,1
2999983109481,133,1,9,0.816,3YA,Z,1
2999983109481,176,1,9,0.816,3YA,Z,1
2999983109481,298,1,9,0.816,3YA,Z,1
2999983109481,152,1,9,0.816,3YA,Z,1
2999983109481,301,1,9,0.816,3YA,Z,1
2999983109481,243,1,9,0.816,3YA,Z,1
2999983109481,236,1,9,0.816,3YA,Z,1
2999983109481,211,1,9,0.816,3YA,Z,1
2999983109481,114,1,9,0.816,3YA,Z,1
2999983109481,144,1,9,0.816,3YA,Z,1
2999983109481,193,1,9,0.816,3YA,Z,1
2999983109481,10,1,9,0.816,3YA,Z,1
2999983109481,14,1,9,0.816,3YA,Z,1
2999983109481,4,1,9,0.816,3YA,Z,1
2999983109481,166,1,9,0.816,3YA,Z,1
2999983109481,55,1,9,0.816,3YA,Z,1
2999983611335,191,1,6,0.612,3YA,Z,1
2999983611335,2,1,6,0.612,3YA,Z,1
2999983611335,310,1,6,0.612,3YA,Z,1
2999983611335,67,1,6,0.612,3YA,Z,1
2999983611335,10,1,6,0.612,3YA,Z,1
2999983611335,14,1,6,0.612,3YA,Z,1
2999983611335,176,1,6,0.612,3YA,Z,1
2999983611335,287,1,6,0.612,3YA,Z,1
2999983611335,318,1,6,0.612,3YA,Z,1
2999983611335,243,1,6,0.612,3YA,Z,1
2999983611335,236,1,6,0.612,3YA,Z,1
2999983611335,152,1,6,0.612,3YA,Z,1
2999983611335,211,1,6,0.612,3YA,Z,1
2999983611335,246,1,6,0.612,3YA,Z,1
2999983611335,177,1,6,0.612,3YA,Z,1
2999983610642,191,1,6,0.98,3YA,Z,1
2999983610642,2,1,6,0.98,3YA,Z,1
2999983610642,330,1,6,0.98,3YA,Z,1
2999983610642,310,1,6,0.98,3YA,Z,1
2999983610642,272,1,6,0.98,3YA,Z,1
2999983610642,296,1,6,0.98,3YA,Z,1
2999983610642,249,1,6,0.98,3YA,Z,1
2999983610642,221,1,6,0.98,3YA,Z,1
2999983610642,318,1,6,0.98,3YA,Z,1
2999983610642,176,1,6,0.98,3YA,Z,1
2999983610642,145,1,6,0.98,3YA,Z,1
2999983610642,287,1,6,0.98,3YA,Z,1
2999983610642,273,1,6,0.98,3YA,Z,1
2999983610642,246,1,6,0.98,3YA,Z,1
2999983610642,213,1,6,0.98,3YA,Z,1
2999983610642,177,1,6,0.98,3YA,Z,1
2999983610642,236,1,6,0.98,3YA,Z,1
2999983610642,152,1,6,0.98,3YA,Z,1
2999983610642,211,1,6,0.98,3YA,Z,1
2999983610642,210,1,6,0.98,3YA,Z,1
2999983610642,166,1,6,0.98,3YA,Z,1
2999983610642,301,1,6,0.98,3YA,Z,1
2999983610642,243,1,6,0.98,3YA,Z,1
2999983610642,67,1,6,0.98,3YA,Z,1
2999983610642,193,1,6,0.98,3YA,Z,1
2999983610642,10,1,6,0.98,3YA,Z,1
2999983610642,14,1,6,0.98,3YA,Z,1
2999983677836,191,1,8,0.918,3YA,Z,1
2999983677836,2,1,8,0.918,3YA,Z,1
2999983677836,310,1,8,0.918,3YA,Z,1
2999983677836,67,1,8,0.918,3YA,Z,1
2999983677836,10,1,8,0.918,3YA,Z,1
2999983677836,14,1,8,0.918,3YA,Z,1
2999983677836,246,1,8,0.918,3YA,Z,1
2999983677836,177,1,8,0.918,3YA,Z,1
2999983677836,176,1,8,0.918,3YA,Z,1
2999983677881,287,1,6,0.612,3YA,Z,1
2999983677881,318,1,6,0.612,3YA,Z,1
2999983677881,243,1,6,0.612,3YA,Z,1
2999983677881,236,1,6,0.612,3YA,Z,1
2999983677881,152,1,6,0.612,3YA,Z,1
2999983677881,211,1,6,0.612,3YA,Z,1
2999983677881,246,1,6,0.612,3YA,Z,1
2999983677881,177,1,6,0.612,3YA,Z,1
2999983677928,191,1,8,0.699,3YA,Z,1
2999983677928,2,1,8,0.699,3YA,Z,1
2999983677928,310,1,8,0.699,3YA,Z,1
2999983677928,67,1,8,0.699,3YA,Z,1
2999983677928,10,1,8,0.699,3YA,Z,1
2999983677928,14,1,8,0.699,3YA,Z,1
2999983677928,246,1,8,0.699,3YA,Z,1
2999983677928,177,1,8,0.699,3YA,Z,1
2999983677928,176,1,8,0.699,3YA,Z,1
2999983677928,287,1,8,0.699,3YA,Z,1
2999983677928,318,1,8,0.699,3YA,Z,1
2999983677928,301,1,8,0.699,3YA,Z,1
2999983677928,243,1,8,0.699,3YA,Z,1
2999983677928,307,1,8,0.699,3YA,Z,1
2999983677928,236,1,8,0.699,3YA,Z,1
2999983677928,152,1,8,0.699,3YA,Z,1
2999983677928,211,1,8,0.699,3YA,Z,1
2999983668582,310,1,9,0.04,3YA,Z,1
2999983668582,14,1,9,0.04,3YA,Z,1
2999983683783,191,1,5,1.462,3YA,Z,1
2999983683783,310,1,5,1.462,3YA,Z,1
2999983683783,14,1,5,1.462,3YA,Z,1
2999983677836,307,1,8,0.918,3YA,Z,1
2999983677836,236,1,8,0.918,3YA,Z,1
2999983677836,152,1,8,0.918,3YA,Z,1
2999983677836,211,1,8,0.918,3YA,Z,1
2999983677881,191,1,6,0.612,3YA,Z,1
2999983677881,2,1,6,0.612,3YA,Z,1
2999983677881,310,1,6,0.612,3YA,Z,1
2999983677881,67,1,6,0.612,3YA,Z,1
2999983677881,10,1,6,0.612,3YA,Z,1
2999983677881,14,1,6,0.612,3YA,Z,1
2999983677881,176,1,6,0.612,3YA,Z,1
2999983683660,236,1,7,0.918,3YA,Z,1
2999983683660,191,1,7,0.918,3YA,Z,1
2999983683660,2,1,7,0.918,3YA,Z,1
2999983683660,310,1,7,0.918,3YA,Z,1
2999983683660,67,1,7,0.918,3YA,Z,1
2999983683660,10,1,7,0.918,3YA,Z,1
2999983683660,246,1,7,0.918,3YA,Z,1
2999983683660,177,1,7,0.918,3YA,Z,1
2999983683660,176,1,7,0.918,3YA,Z,1
2999983683660,287,1,7,0.918,3YA,Z,1
2999983683660,318,1,7,0.918,3YA,Z,1
2999983683660,14,1,7,0.918,3YA,Z,1
